Time, Mps
635, 200
636, 197
637, 196
638, 198
639, 198
640, 196
641, 196
642, 197
643, 194
644, 194
645, 199
646, 198
647, 195
648, 195
649, 188
650, 193
651, 200
652, 192
653, 195
654, 195
655, 193
656, 186
657, 193
658, 194
659, 194
660, 180
661, 174
662, 193
663, 194
664, 197
665, 196
666, 194
667, 192
668, 189
