Time, Mps, SystemCpu
0, 0, 1
1, 8677, 0.959404600811908
2, 211923, 0.8173690932311622
3, 513229, 0.6864295125164691
4, 569809, 0.6558018252933507
5, 473681, 0.7551546391752577
6, 573994, 0.6452879581151832
7, 564216, 0.648124191461837
8, 589209, 0.6507731958762887
9, 565652, 0.6710182767624021
10, 565102, 0.6549935149156939
11, 553084, 0.6536458333333334
12, 576620, 0.6451612903225806
13, 571161, 0.648578811369509
14, 545852, 0.6549479166666666
15, 351513, 0.6347197106690777
16, 549911, 0.6514954486345904
17, 572230, 0.635890767230169
18, 564641, 0.6355498721227621
19, 564580, 0.6494178525226391
20, 562208, 0.6328125
21, 580201, 0.6602316602316602
22, 573746, 0.6323337679269883
23, 567893, 0.6411609498680738
24, 556136, 0.6631716906946264
25, 569877, 0.616600790513834
26, 563026, 0.6415584415584416
27, 565432, 0.6385696040868454
28, 560148, 0.6402597402597403
29, 555202, 0.6460526315789473
30, 564665, 0.637997432605905
31, 528791, 0.6566186107470511
32, 573135, 0.6420233463035019
33, 571229, 0.6294349540078844
34, 565478, 0.6455862977602108
35, 576582, 0.6580976863753214
36, 563635, 0.6416558861578266
37, 577655, 0.6388174807197944
38, 560674, 0.6400523560209425
39, 564209, 0.6350461133069829
40, 575502, 0.62905317769131
41, 562970, 0.6423927178153446
42, 572737, 0.6323337679269883
43, 568544, 0.6469816272965879
44, 561683, 0.6387434554973821
45, 569309, 0.6472114137483788
46, 565623, 0.6357702349869452
47, 562082, 0.6378865979381444
48, 571362, 0.6303501945525293
49, 560987, 0.6453715775749673
50, 564411, 0.6441558441558441
51, 560498, 0.6351706036745407
52, 569379, 0.6384915474642392
53, 581320, 0.6443298969072164
54, 557765, 0.647594278283485
55, 562329, 0.6305483028720626
56, 570672, 0.6456996148908858
57, 569440, 0.6332899869960988
58, 556624, 0.6253333333333333
59, 560729, 0.6348167539267016
60, 564782, 0.6364812419146183
61, 561177, 0.6373193166885678
62, 568213, 0.6271186440677966
63, 570880, 0.631439894319683
64, 516274, 0.7007874015748031
65, 520499, 0.6846846846846847
66, 559437, 0.6351706036745407
67, 542417, 0.6507115135834411
